name;description;address;geometry;placepageuri;geo_point_2d
Lousteau Martial;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31852dd739f:0x8ebb895c3d98733a&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";1 Rue Francis Carco, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.622729, 44.200776]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31852dd739f:0x8ebb895c3d98733a&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.200776,0.622729
Yassine Hassane;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb321b0742b31:0x6eb76aaa218a9bd7&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";7 Rue des Héros Résistance, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.6186309999999999, 44.205379]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb321b0742b31:0x6eb76aaa218a9bd7&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.205379,0.618631
Guillet Catherine;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb305537ca87b:0x543c836223e48626&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";35 Avenue Michelet, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.630132, 44.199149]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb305537ca87b:0x543c836223e48626&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.199149,0.630132
Seraline Robert;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31852dd725b:0x1240b3decc33b68a&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";1 Rue Francis Carco, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.622729, 44.200776]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31852dd725b:0x1240b3decc33b68a&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.200776,0.622729
Tombeur Claire;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb321a34e348d:0x70ecf3e87659f56e&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";2 Rue des Héros Résistance, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.618713, 44.204985]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb321a34e348d:0x70ecf3e87659f56e&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.204985,0.618713
Herman André;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb3221fecc9a5:0x29eca92f715a91e9&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";7 Place des Droits de l'Homme, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.619305, 44.203568]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb3221fecc9a5:0x29eca92f715a91e9&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.203568,0.619305
Cabinet Médical des Docteurs Dubos Barrailh Favre;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31f7ca52613:0x49604e5937b90106&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";135 Boulevard du Président Carnot, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.620575, 44.205381]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31f7ca52613:0x49604e5937b90106&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.205381,0.620575
Ferrando Mary Florence;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31f9441d7a1:0x859a0374cc44263e&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";2 Ter Rue André Mazeau, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.621402, 44.206819]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31f9441d7a1:0x859a0374cc44263e&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.206819,0.621402
Delage Pierre;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb252485d8a3d:0x759d52b4427d71a6&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";577 Avenue Léon Blum, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.646898, 44.21162]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb252485d8a3d:0x759d52b4427d71a6&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.21162,0.646898
Pédespan Bernard;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31eb1e20ebd:0x4939191a4458de69&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";1 Cours du 14 Juillet, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.624281, 44.203601]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31eb1e20ebd:0x4939191a4458de69&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.203601,0.624281
Castel Jean Claude;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb2d88375b30b:0x94c39acd84b0baf2&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";13 Quai du Dr et Madame Calabet, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.6139359999999999, 44.208644]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb2d88375b30b:0x94c39acd84b0baf2&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.208644,0.613936
Beaussier Anne Diététicienne - Nutritionniste;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb3187fc8ab6f:0x8972a58cc60406fe&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";36 Boulevard du Président Carnot, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.620632, 44.201166]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb3187fc8ab6f:0x8972a58cc60406fe&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.201166,0.620632
Dugast Laurent;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb32162c701e7:0xe3dc95c03b6e625e&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";123 Rue Montesquieu, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.6173029999999999, 44.20366]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb32162c701e7:0xe3dc95c03b6e625e&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.20366,0.617303
Deliot Rodrigue;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb324086f8e2b:0x2e28925d650e66a3&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";8 Place du Dr Esquirol, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.615571, 44.202871]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb324086f8e2b:0x2e28925d650e66a3&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.202871,0.615571
Lamey Françoise;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb3218325eb95:0xd5ab8aa81dcbac7b&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";14 Place Jean-Baptiste Durand, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.6183219999999999, 44.204105]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb3218325eb95:0xd5ab8aa81dcbac7b&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.204105,0.618322
Joulie Jacqueline;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb324a32228f5:0x8939220dfc11aab3&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";48 Rue Lamouroux, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.6150909999999999, 44.199923]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb324a32228f5:0x8939220dfc11aab3&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.199923,0.615091
Sarrazin et Séhabiague SCM;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31f8c3c1c71:0x43eba468b907bf26&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";112 Boulevard du Président Carnot, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.6209100000000001, 44.20696]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31f8c3c1c71:0x43eba468b907bf26&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.20696,0.62091
Drapeau Cyrille;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31852dd725b:0x8a7a6d11cf1ec81c&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";1 Rue Francis Carco, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.622729, 44.200776]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31852dd725b:0x8a7a6d11cf1ec81c&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.200776,0.622729
Boyer Cécile;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31b86b2b9b5:0x740df447c2493394&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";7 Bis Rue Jegun de Marans, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.627142, 44.203313]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31b86b2b9b5:0x740df447c2493394&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.203313,0.627142
Brugel Gérard;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb32295f2bfe5:0x9ec444a9357070c7&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";20 Rue de Strasbourg, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.6199169999999999, 44.19931]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb32295f2bfe5:0x9ec444a9357070c7&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.19931,0.619917
Roccati Jean-Marc;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.203466500000005&lng=0.6191125&fid=0x12abb3226a12a669:0x94a22bff2aaa206d&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";32 Cours Washington, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.619292, 44.202078]}";"https://www.google.com/earth/rpc/entity?lat=44.203466500000005&lng=0.6191125&fid=0x12abb3226a12a669:0x94a22bff2aaa206d&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.202078,0.619292
Delard Jean-Christophe;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31c64ec54c5:0x46f5f8818b478d5f&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";217 Avenue Jean Jaurès, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.6270800000000001, 44.204158]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31c64ec54c5:0x46f5f8818b478d5f&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.204158,0.62708
Odievre Brigitte;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb3268ef3d099:0xc941811a113e3df5&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";19 Boulevard de la République, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.613709, 44.204475]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb3268ef3d099:0xc941811a113e3df5&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.204475,0.613709
Favre Antoine;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31f7cbd6bf9:0xcd2255a2f0cfb0f8&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";135 Boulevard du Président Carnot, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.620575, 44.205381]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31f7cbd6bf9:0xcd2255a2f0cfb0f8&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.205381,0.620575
